{'Pair': 'ETH/USDT', 'Strategy': 'HourBasedStrategy', 'interval': '15m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 77.69240694999999, 'sharpe': 0.36846473595592, 'total_profit': 48.54643402000001, 'total_profit_pcr': 4.85}
{'Pair': 'ETH/USDT', 'Strategy': 'HourBasedStrategy', 'interval': '1h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 89.10311005, 'sharpe': 0.17055260288361285, 'total_profit': 21.688335069999997, 'total_profit_pcr': 2.17}
{'Pair': 'ETH/USDT', 'Strategy': 'HourBasedStrategy', 'interval': '4h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 94.47095146, 'sharpe': 0.06614614917961088, 'total_profit': 8.721900059999983, 'total_profit_pcr': 0.87}
{'Pair': 'ETH/USDT', 'Strategy': 'HourBasedStrategy', 'interval': '1d', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0, 'total_profit': 0, 'total_profit_pcr': 0.0}

{'Pair': 'ETH/USDT', 'Strategy': 'UniversalMACD', 'interval': '5m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.4669950673714967, 'total_profit': 14.62633445, 'total_profit_pcr': 1.46}
{'Pair': 'ETH/USDT', 'Strategy': 'UniversalMACD', 'interval': '15m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.27337576166297795, 'total_profit': 8.15741863, 'total_profit_pcr': 0.82}
{'Pair': 'ETH/USDT', 'Strategy': 'UniversalMACD', 'interval': '1h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.27337576166297795, 'total_profit': 8.15741863, 'total_profit_pcr': 0.82}
{'Pair': 'ETH/USDT', 'Strategy': 'UniversalMACD', 'interval': '4h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.2596254138061182, 'total_profit': 2.20467393, 'total_profit_pcr': 0.22}
{'Pair': 'ETH/USDT', 'Strategy': 'UniversalMACD', 'interval': '1d', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.2596254138061182, 'total_profit': 2.20467393, 'total_profit_pcr': 0.22}

{'Pair': 'BTC/USDT', 'Strategy': 'UniversalMACD', 'interval': '5m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.23184583306109338, 'total_profit': 8.41693899, 'total_profit_pcr': 0.84}
{'Pair': 'BTC/USDT', 'Strategy': 'UniversalMACD', 'interval': '15m', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.3428399706509093, 'total_profit': 17.424240740000002, 'total_profit_pcr': 1.74}
{'Pair': 'BTC/USDT', 'Strategy': 'UniversalMACD', 'interval': '1h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.3405395782287665, 'total_profit': 0.63321599, 'total_profit_pcr': 0.06}
{'Pair': 'BTC/USDT', 'Strategy': 'UniversalMACD', 'interval': '4h', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': 0.41176233640595405, 'total_profit': 15.55426714, 'total_profit_pcr': 1.56}
{'Pair': 'BTC/USDT', 'Strategy': 'UniversalMACD', 'interval': '1d', 'backtest': 'from 20230101 to 20231101', 'drawdown': 0.0, 'sharpe': -100, 'total_profit': 0.0, 'total_profit_pcr': 0.0}


--

